,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
10012,11537.0,,President Kennedypark,37.0,8500.0,Kortrijk,West-Vlaanderen,,Y,,,"President Kennedypark,37.0,West-Vlaanderen,Belgium",50.8004697,3.2735276,
10030,11556.0,,Havanastraat,2.0,2030.0,Antwerpen,Antwerpen,,Y,,,"Havanastraat,2.0,Antwerpen,Belgium",51.2607767,4.422228,
10104,11631.0,,Poldervlietweg,3.0,2030.0,Antwerpen,Antwerpen,,Y,,,"Poldervlietweg,3.0,Antwerpen,Belgium",51.3076245,4.3600472,
10108,11635.0,,Ordamstraat,10.0,2030.0,Antwerpen,Antwerpen,,Y,,,"Ordamstraat,10.0,Antwerpen,Belgium",51.2881772,4.3526674,
10136,11665.0,Appareil Fixe,Koningin Astridplein,,2018.0,Antwerpen,Antwerpen,,Y,,,"Koningin Astridplein,,Antwerpen,Belgium",51.2185297,4.4207857,
10149,11681.0,,Jan Denucéstraat,33.0,2020.0,Antwerpen,Antwerpen,,Y,,,"Jan Denucéstraat,33.0,Antwerpen,Belgium",51.1944798,4.3906119,
10150,11682.0,,Jan Denucéstraat,16.0,2020.0,Antwerpen,Antwerpen,,Y,,,"Jan Denucéstraat,16.0,Antwerpen,Belgium",51.1944798,4.3906119,
10152,11684.0,,Jan De Voslei,36.0,2020.0,Antwerpen,Antwerpen,,Y,,,"Jan De Voslei,36.0,Antwerpen,Belgium",51.1884878,4.3895887,
10153,11685.0,,Jan Denucéstraat,23.0,2020.0,Antwerpen,Antwerpen,,Y,,,"Jan Denucéstraat,23.0,Antwerpen,Belgium",51.1944798,4.3906119,
10249,11791.0,Appareil fixe-Vast apparaat,Mechelsesteenweg,,2018.0,Antwerpen,Antwerpen,In de gang,Non-Nee,Non-Nee,,"Mechelsesteenweg,,Antwerpen,Belgium",51.2055418,4.4102937,
10311,11860.0,Appareil fixe-Vast apparaat,Korte Gasthuisstraat,,2000.0,Antwerpen,Antwerpen,Accueil,Oui-Ja,Non-Nee,9h-17h,"Korte Gasthuisstraat,,Antwerpen,Belgium",51.2165962,4.4044933,
10479,12036.0,Appareil fixe-Vast apparaat,Koningin Astridplein,27.0,2000.0,Antwerpen,Antwerpen,Gelijkvloers: voorbij trappen stationshal: in de hal van de sporen: links om de hoek,Oui-Ja,Non-Nee,5:45 - 22:00,"Koningin Astridplein,27.0,Antwerpen,Belgium",51.2185297,4.4207857,
10549,12216.0,Appareil fixe-Vast apparaat,Desguinlei ,244.0,2018.0,Antwerpen,Antwerpen,Gelijkvloers aan de centrale ingang in het midden van het gebouw. Bij het binnenkomen van het gebouw direct naar rechtsgaan. Achter de hoek hangt het toestel.,Oui-Ja,Non-Nee,Alle werkdagen van 15 augustus tot 30 juni!,"Desguinlei ,244.0,Antwerpen,Belgium",51.194908,4.4044371,
10629,12310.0,Appareil fixe-Vast apparaat,Nieuwlandenweg,,2030.0,Antwerpen,Antwerpen,,,,,"Nieuwlandenweg,,Antwerpen,Belgium",51.2213404,4.4051485,
10806,12509.0,Appareil fixe-Vast apparaat,De Keyserhoeve ,66.0,2040.0,Zandvliet,Antwerpen,"Aan de voorgevel, naast de brievenbus",Oui-Ja,Oui-Ja,7 dagen op 7,"De Keyserhoeve ,66.0,Antwerpen,Belgium",51.3597986,4.3101555,
10841,12554.0,Appareil fixe-Vast apparaat,Scheldelaan ,480.0,2040.0,Antwerpen,Antwerpen,Inkomhal gebouw C (loket kontrolekamer),Oui-Ja,Oui-Ja,,"Scheldelaan ,480.0,Antwerpen,Belgium",51.2998941,4.3074336,
10842,12555.0,Appareil fixe-Vast apparaat,Scheldelaan ,480.0,2040.0,Antwerpen,Antwerpen,Inkomhal Gebouw W,Oui-Ja,Oui-Ja,,"Scheldelaan ,480.0,Antwerpen,Belgium",51.2998941,4.3074336,
10843,12556.0,Appareil fixe-Vast apparaat,Scheldelaan ,480.0,2040.0,Antwerpen,Antwerpen,Inkomhal medische dienst,Oui-Ja,Oui-Ja,,"Scheldelaan ,480.0,Antwerpen,Belgium",51.2998941,4.3074336,
10928,12647.0,Appareil fixe-Vast apparaat,Kronenburgstraat,62.0,2018.0,Antwerpen,Antwerpen,Inkom onthaal,Non-Nee,Non-Nee,,"Kronenburgstraat,62.0,Antwerpen,Belgium",51.2120287,4.3974974,
10952,12673.0,Appareil fixe-Vast apparaat,"Koordekenshoef, haven",83.0,2030.0,Antwerpen,Antwerpen,1e verdiep gang naar burelen.,Non-Nee,Non-Nee,,"Koordekenshoef, haven,83.0,Antwerpen,Belgium",51.2503122,4.3930785,
11011,12746.0,Appareil fixe-Vast apparaat,Theaterplein,1.0,2000.0,Antwerpen,Antwerpen,"Stadsschouwburg, inkomfoyer aan receptie",Non-Nee,Non-Nee,,"Theaterplein,1.0,Antwerpen,Belgium",51.2151169,4.4100866,
11073,12817.0,Appareil fixe-Vast apparaat,President Kennedypark,14.0,8500.0,Kortrijk,West-Vlaanderen,"Binnen, inkomhal links
",Oui-Ja,Non-Nee,8-18u op weekdagen,"President Kennedypark,14.0,West-Vlaanderen,Belgium",50.8004697,3.2735276,
11084,12829.0,Appareil fixe-Vast apparaat,Noorderlaan,147.0,2030.0,Antwerpen,Antwerpen,"Fluor Engineering - 7e verdieping, bezoekersingang links",Non-Nee,Non-Nee,,"Noorderlaan,147.0,Antwerpen,Belgium",51.2697864,4.3766281,
11093,12844.0,Appareil fixe-Vast apparaat,Verbindingsdok-Westkaai,28.0,2000.0,Antwerpen,Antwerpen,Zino Projects - bureelruimte 6e verdiep,Non-Nee,Non-Nee,,"Verbindingsdok-Westkaai,28.0,Antwerpen,Belgium",51.2303265,4.4065181,
